GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100463,STCTY-17031 TRACT-    0463     IN CHICAGO IL,"5988","5982","6","3822","4","2461",39.47
G17003100464,STCTY-17031 TRACT-    0464     IN CHICAGO IL,"2401","2395","6","1892","5","2524",33.62
G17003100465,STCTY-17031 TRACT-    0465     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100466,STCTY-17031 TRACT-    0466     IN CHICAGO IL,"1490","1490","0","1212","0","0",38.37
G17003100467,STCTY-17031 TRACT-    0467     IN CHICAGO IL,"1539","1539","0","1247","0","2702",33.47
G17003100468,STCTY-17031 TRACT-    0468     IN CHICAGO IL,"1549","1545","4","1108","4","0",29.44
G17003100469,STCTY-17031 TRACT-    0469     IN CHICAGO IL,"1793","1793","0","1164","0","2682",34.08
G17003100470,STCTY-17031 TRACT-    0470     IN CHICAGO IL,"1210","1206","4","914","0","0",34.5
G17003100471,STCTY-17031 TRACT-    0471     IN CHICAGO IL,"2437","2437","0","1854","0","1888",22.07
G17003100472,STCTY-17031 TRACT-    0472     IN CHICAGO IL,"1253","1253","0","946","0","0",23.76
G17003100473,STCTY-17031 TRACT-    0473     IN CHICAGO IL,"1496","1496","0","1173","0","2197",26.01
G17003100474,STCTY-17031 TRACT-    0474     IN CHICAGO IL,"4937","4937","0","3730","0","2101",26.14
G17003100475,STCTY-17031 TRACT-    0475     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100476,STCTY-17031 TRACT-    0476     IN CHICAGO IL,"2927","2927","0","2193","0","2753",32.67
G17003100477,STCTY-17031 TRACT-    0477     IN CHICAGO IL,"11335","11333","2","8991","0","2796",31.78
G17003100478,STCTY-17031 TRACT-    0478     IN CHICAGO IL,"7377","7372","5","5190","4","2701",28.8
G17003100479,STCTY-17031 TRACT-    0479     IN CHICAGO IL,"1301","1301","0","969","0","3450",26.43
G17003100480,STCTY-17031 TRACT-    0480     IN CHICAGO IL,"2587","2587","0","1869","0","3124",27.66
G17003100481,STCTY-17031 TRACT-    0481     IN CHICAGO IL,"3107","3106","1","2246","1","3487",33.57
G17003100482,STCTY-17031 TRACT-    0482     IN CHICAGO IL,"449","448","1","314","1","0",0
G17003100483,STCTY-17031 TRACT-    0483     IN CHICAGO IL,"4193","4189","4","3012","0","2413",30.69
G17003100484,STCTY-17031 TRACT-    0484     IN CHICAGO IL,"5051","5051","0","3618","0","2370",26.6
G17003100485,STCTY-17031 TRACT-    0485     IN CHICAGO IL,"344","344","0","275","0","0",0
G17003100486,STCTY-17031 TRACT-    0486     IN CHICAGO IL,"225","225","0","175","0","0",0
G17003100487,STCTY-17031 TRACT-    0487     IN CHICAGO IL,"1701","1698","3","1280","0","0",28.9
G17003100488,STCTY-17031 TRACT-    0488     IN CHICAGO IL,"6053","6052","1","4491","0","1913",23.58
G17003100489,STCTY-17031 TRACT-    0489     IN CHICAGO IL,"2995","2995","0","2325","0","2112",24.29
G17003100490,STCTY-17031 TRACT-    0490     IN CHICAGO IL,"4259","4259","0","2919","0","2425",28.12
G17003100491,STCTY-17031 TRACT-    0491     IN CHICAGO IL,"3251","3251","0","2324","0","2274",27.93
G17003100492,STCTY-17031 TRACT-    0492     IN CHICAGO IL,"1151","1151","0","866","0","1742",22.52
G17003100493,STCTY-17031 TRACT-    0493     IN CHICAGO IL,"2452","1660","792","1411","784","0",0
G17003100494,STCTY-17031 TRACT-    0494     IN CHICAGO IL,"34","34","0","26","0","0",0
G17003100495,STCTY-17031 TRACT-    0495     IN CHICAGO IL,"2686","2685","1","1975","1","1351",18.02
G17003100496,STCTY-17031 TRACT-    0496     IN CHICAGO IL,"8363","8362","1","5670","0","1130",19
G17003100497,STCTY-17031 TRACT-    0497     IN CHICAGO IL,"2411","2406","5","1682","0","1854",17.49
G17003100498,STCTY-17031 TRACT-    0498     IN CHICAGO IL,"19","19","0","12","0","0",0
G17003100499,STCTY-17031 TRACT-    0499     IN CHICAGO IL,"2341","2341","0","1675","0","902",16.47
G17003100500,STCTY-17031 TRACT-    0500     IN CHICAGO IL,"3191","3183","8","2326","1","1425",18.92
G17003100501,STCTY-17031 TRACT-    0501     IN CHICAGO IL,"4835","4832","3","3312","0","1350",18.36
G17003100502,STCTY-17031 TRACT-    0502     IN CHICAGO IL,"877","875","2","603","1","0",17.96
G17003100503,STCTY-17031 TRACT-    0503     IN CHICAGO IL,"19","19","0","12","0","0",0
G17003100504,STCTY-17031 TRACT-    0504     IN CHICAGO IL,"123","123","0","101","0","0",0
G17003100505,STCTY-17031 TRACT-    0505     IN CHICAGO IL,"7419","7419","0","5652","0","1684",20.54
G17003100506,STCTY-17031 TRACT-    0506     IN CHICAGO IL,"5998","5995","3","3754","3","2175",28.94
G17003100507,STCTY-17031 TRACT-    0507     IN CHICAGO IL,"473","473","0","319","0","0",0
G17003100508,STCTY-17031 TRACT-    0508     IN CHICAGO IL,"7911","7911","0","6001","0","1426",19.98
G17003100509,STCTY-17031 TRACT-    0509     IN CHICAGO IL,"7643","7639","4","5671","0","1582",19.82
G17003100510,STCTY-17031 TRACT-    0510     IN CHICAGO IL,"3599","3599","0","2566","0","1673",22.69
G17003100511,STCTY-17031 TRACT-    0511     IN CHICAGO IL,"605","594","11","509","6","0",0
G17003100512,STCTY-17031 TRACT-    0512     IN CHICAGO IL,"12","12","0","10","0","0",0
G17003100513,STCTY-17031 TRACT-    0513     IN CHICAGO IL,"448","448","0","370","0","0",0
G17003100514,STCTY-17031 TRACT-    0514     IN CHICAGO IL,"2256","2188","68","1693","7","0",0
G17003100515,STCTY-17031 TRACT-    0515     IN CHICAGO IL,"553","534","19","432","0","0",0
G17003100516,STCTY-17031 TRACT-    0516     IN CHICAGO IL,"2347","2339","8","1896","1","0",41.57
G17003100517,STCTY-17031 TRACT-    0517     IN CHICAGO IL,"3278","3139","139","2615","135","0",22.32
G17003100518,STCTY-17031 TRACT-    0518     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100519,STCTY-17031 TRACT-    0519     IN CHICAGO IL,"1366","1271","95","1018","69","0",17.99
G17003100520,STCTY-17031 TRACT-    0520     IN CHICAGO IL,"1294","790","504","654","492","0",25.22
G17003100521,STCTY-17031 TRACT-    0521     IN CHICAGO IL,"881","84","797","77","797","0",28.06
G17003100522,STCTY-17031 TRACT-    0522     IN CHICAGO IL,"487","86","401","59","397","0",14.9
G17003100523,STCTY-17031 TRACT-    0523     IN CHICAGO IL,"262","27","235","21","18","0",0
G17003100524,STCTY-17031 TRACT-    0524     IN CHICAGO IL,"5091","4287","804","3095","138","1397",22.79
G17003100525,STCTY-17031 TRACT-    0525     IN CHICAGO IL,"486","486","0","385","0","0",18.82
G17003100526,STCTY-17031 TRACT-    0526     IN CHICAGO IL,"1700","1700","0","1273","0","1558",23.39
G17003100527,STCTY-17031 TRACT-    0527     IN CHICAGO IL,"1601","1572","29","1172","29","0",24.18
G17003100528,STCTY-17031 TRACT-    0528     IN CHICAGO IL,"1033","1033","0","715","0","0",27.87
G17003100529,STCTY-17031 TRACT-    0529     IN CHICAGO IL,"205","194","11","135","10","0",0
G17003100530,STCTY-17031 TRACT-    0530     IN CHICAGO IL,"368","368","0","269","0","0",0
G17003100531,STCTY-17031 TRACT-    0531     IN CHICAGO IL,"197","197","0","133","0","0",0
G17003100532,STCTY-17031 TRACT-    0532     IN CHICAGO IL,"954","952","2","657","2","0",26.85
G17003100533,STCTY-17031 TRACT-    0533     IN CHICAGO IL,"733","579","154","393","152","0",23.25
G17003100534,STCTY-17031 TRACT-    0534     IN CHICAGO IL,"1774","1482","292","1094","292","2839",26.94
G17003100535,STCTY-17031 TRACT-    0535     IN CHICAGO IL,"1059","379","680","284","676","0",21.38
G17003100536,STCTY-17031 TRACT-    0536     IN CHICAGO IL,"377","94","283","63","283","0",0
G17003100537,STCTY-17031 TRACT-    0537     IN CHICAGO IL,"475","44","431","26","431","0",22.86
G17003100538,STCTY-17031 TRACT-    0538     IN CHICAGO IL,"2157","124","2033","92","2031","0",22.49
G17003100539,STCTY-17031 TRACT-    0539     IN CHICAGO IL,"1525","191","1334","154","1334","0",21.73
G17003100540,STCTY-17031 TRACT-    0540     IN CHICAGO IL,"385","6","379","6","379","0",25.67
G17003100541,STCTY-17031 TRACT-    0541     IN CHICAGO IL,"1766","53","1713","35","1710","0",26.98
G17003100542,STCTY-17031 TRACT-    0542     IN CHICAGO IL,"3087","45","3042","29","3039","0",23.38
G17003100543,STCTY-17031 TRACT-    0543     IN CHICAGO IL,"2958","441","2517","352","2516","0",24.06
G17003100544,STCTY-17031 TRACT-    0544     IN CHICAGO IL,"1340","32","1308","21","1304","0",21.06
G17003100545,STCTY-17031 TRACT-    0545     IN CHICAGO IL,"1412","8","1404","5","1403","0",21.15
G17003100546,STCTY-17031 TRACT-    0546     IN CHICAGO IL,"1987","64","1923","48","1921","0",19.99
G17003100547,STCTY-17031 TRACT-    0547     IN CHICAGO IL,"4235","32","4203","16","4203","0",25.83
G17003100548,STCTY-17031 TRACT-    0548     IN CHICAGO IL,"3471","614","2857","471","2856","0",22.72
G17003100549,STCTY-17031 TRACT-    0549     IN CHICAGO IL,"3660","834","2826","737","2822","0",27.23
G17003100550,STCTY-17031 TRACT-    0550     IN CHICAGO IL,"1372","19","1353","14","1346","0",17.96
G17003100551,STCTY-17031 TRACT-    0551     IN CHICAGO IL,"654","3","651","3","651","0",23.55
G17003100552,STCTY-17031 TRACT-    0552     IN CHICAGO IL,"4080","23","4057","17","4055","0",24.51
G17003100553,STCTY-17031 TRACT-    0553     IN CHICAGO IL,"5101","47","5054","33","5054","2647",25.54
G17003100554,STCTY-17031 TRACT-    0554     IN CHICAGO IL,"5283","173","5110","133","5107","0",28.38
G17003100555,STCTY-17031 TRACT-    0555     IN CHICAGO IL,"4476","664","3812","559","3810","2911",25.76
G17003100556,STCTY-17031 TRACT-    0556     IN CHICAGO IL,"1570","29","1541","18","1540","0",26.06
G17003100557,STCTY-17031 TRACT-    0557     IN CHICAGO IL,"4762","8","4754","7","4754","2583",21.83
G17003100558,STCTY-17031 TRACT-    0558     IN CHICAGO IL,"1222","1179","43","959","6","0",23.76
G17003100559,STCTY-17031 TRACT-    0559     IN CHICAGO IL,"2660","370","2290","298","2278","0",27.88
G17003100560,STCTY-17031 TRACT-    0560     IN CHICAGO IL,"3665","2834","831","2352","760","0",25.96
G17003100561,STCTY-17031 TRACT-    0561     IN CHICAGO IL,"3183","3014","169","2606","162","3024",25.48
G17003100562,STCTY-17031 TRACT-    0562     IN CHICAGO IL,"3770","3756","14","3280","3","3424",28.49
G17003100563,STCTY-17031 TRACT-    0563     IN CHICAGO IL,"668","656","12","537","0","0",22.91
G17003100564,STCTY-17031 TRACT-    0564     IN CHICAGO IL,"1647","1441","206","1110","206","1818",20.89
G17003100565,STCTY-17031 TRACT-    0565     IN CHICAGO IL,"3048","3038","10","2201","10","1661",25.33
G17003100566,STCTY-17031 TRACT-    0566     IN CHICAGO IL,"843","580","263","403","262","0",21.04
G17003100567,STCTY-17031 TRACT-    0567     IN CHICAGO IL,"3293","3114","179","2377","179","1653",25.21
G17003100568,STCTY-17031 TRACT-    0568     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100569,STCTY-17031 TRACT-    0569     IN CHICAGO IL,"3549","3533","16","2669","4","1923",24.73
G17003100570,STCTY-17031 TRACT-    0570     IN CHICAGO IL,"1078","445","633","341","632","0",27.98
G17003100571,STCTY-17031 TRACT-    0571     IN CHICAGO IL,"357","341","16","271","16","0",0
G17003100572,STCTY-17031 TRACT-    0572     IN CHICAGO IL,"611","482","129","360","129","0",22
G17003100573,STCTY-17031 TRACT-    0573     IN CHICAGO IL,"1234","23","1211","17","1211","0",27.78
G17003100574,STCTY-17031 TRACT-    0574     IN CHICAGO IL,"2925","323","2602","237","2600","0",29.31
G17003100575,STCTY-17031 TRACT-    0575     IN CHICAGO IL,"8938","284","8654","219","8651","2303",24.26
G17003100576,STCTY-17031 TRACT-    0576     IN CHICAGO IL,"5939","113","5826","93","5822","3429",24.13
G17003100577,STCTY-17031 TRACT-    0577     IN CHICAGO IL,"6389","14","6375","10","6373","3331",30.44
G17003100578,STCTY-17031 TRACT-    0578     IN CHICAGO IL,"4442","42","4400","23","4392","0",31.44
G17003100579,STCTY-17031 TRACT-    0579     IN CHICAGO IL,"1401","5","1396","3","1395","0",23.31
G17003100580,STCTY-17031 TRACT-    0580     IN CHICAGO IL,"1235","13","1222","10","1222","0",25.76
G17003100581,STCTY-17031 TRACT-    0581     IN CHICAGO IL,"5238","67","5171","59","5168","0",25.69
G17003100582,STCTY-17031 TRACT-    0582     IN CHICAGO IL,"8496","36","8460","27","8453","4067",22.17
G17003100583,STCTY-17031 TRACT-    0583     IN CHICAGO IL,"8024","48","7976","33","7971","3650",26.86
G17003100584,STCTY-17031 TRACT-    0584     IN CHICAGO IL,"5912","74","5838","43","5838","0",30.96
G17003100585,STCTY-17031 TRACT-    0585     IN CHICAGO IL,"3641","19","3622","9","3621","0",31.03
G17003100586,STCTY-17031 TRACT-    0586     IN CHICAGO IL,"8727","37","8690","19","8687","0",25.73
G17003100587,STCTY-17031 TRACT-    0587     IN CHICAGO IL,"6351","147","6204","125","6203","0",26.05
G17003100588,STCTY-17031 TRACT-    0588     IN CHICAGO IL,"1565","8","1557","3","1556","0",29.43
G17003100589,STCTY-17031 TRACT-    0589     IN CHICAGO IL,"6471","182","6289","133","6288","0",40.85
G17003100590,STCTY-17031 TRACT-    0590     IN CHICAGO IL,"2291","60","2231","43","2231","0",34.82
G17003100591,STCTY-17031 TRACT-    0591     IN CHICAGO IL,"8740","349","8391","272","8383","2833",31.86
G17003100592,STCTY-17031 TRACT-    0592     IN CHICAGO IL,"5297","20","5277","13","5274","0",26.04
G17003100593,STCTY-17031 TRACT-    0593     IN CHICAGO IL,"5059","4969","90","4083","84","0",38.1
G17003100594,STCTY-17031 TRACT-    0594     IN CHICAGO IL,"5103","5087","16","4335","12","4097",33.09
G17003100595,STCTY-17031 TRACT-    0595     IN CHICAGO IL,"4726","4714","12","4027","5","4571",33.65
G17003100596,STCTY-17031 TRACT-    0596     IN CHICAGO IL,"3962","3927","35","3144","30","0",44.15
G17003100597,STCTY-17031 TRACT-    0597     IN CHICAGO IL,"2658","2589","69","2078","64","20000",43.26
G17003100598,STCTY-17031 TRACT-    0598     IN CHICAGO IL,"3397","3336","61","2799","60","14286",54.61
G17003100599,STCTY-17031 TRACT-    0599     IN CHICAGO IL,"4706","4673","33","3966","23","0",44.68
G17003100600,STCTY-17031 TRACT-    0600     IN CHICAGO IL,"2663","11","2652","8","2652","0",27.7
G17003100601,STCTY-17031 TRACT-    0601     IN CHICAGO IL,"7266","309","6957","135","6954","0",35.38
G17003100602,STCTY-17031 TRACT-    0602     IN CHICAGO IL,"9122","189","8933","128","8931","0",34.28
G17003100603,STCTY-17031 TRACT-    0603     IN CHICAGO IL,"7061","56","7005","38","7001","3250",42.47
G17003100604,STCTY-17031 TRACT-    0604     IN CHICAGO IL,"11663","123","11540","76","11530","0",36.39
G17003100605,STCTY-17031 TRACT-    0605     IN CHICAGO IL,"4077","51","4026","28","4025","0",43.24
G17003100606,STCTY-17031 TRACT-    0606     IN CHICAGO IL,"3678","68","3610","34","3607","2533",31.29
G17003100607,STCTY-17031 TRACT-    0607     IN CHICAGO IL,"7206","623","6583","469","6581","0",41.99
G17003100608,STCTY-17031 TRACT-    0608     IN CHICAGO IL,"1043","1030","13","790","13","0",69.85
G17003100609,STCTY-17031 TRACT-    0609     IN CHICAGO IL,"1372","1361","11","1076","11","0",58.08
G17003100610,STCTY-17031 TRACT-    0610     IN CHICAGO IL,"1935","1925","10","1621","10","0",55.72
G17003100611,STCTY-17031 TRACT-    0611     IN CHICAGO IL,"2691","2674","17","2291","7","0",48.97
G17003100612,STCTY-17031 TRACT-    0612     IN CHICAGO IL,"5272","5231","41","4363","41","0",64.53
G17003100613,STCTY-17031 TRACT-    0613     IN CHICAGO IL,"5615","5501","114","4481","109","0",41.9
G17003100614,STCTY-17031 TRACT-    0614     IN CHICAGO IL,"5451","5380","71","4115","54","3864",46.39
G17003100615,STCTY-17031 TRACT-    0615     IN CHICAGO IL,"4421","4411","10","3141","5","0",49.27
G17003100616,STCTY-17031 TRACT-    0616     IN CHICAGO IL,"6082","6007","75","4340","59","0",46.16
G17003100617,STCTY-17031 TRACT-    0617     IN CHICAGO IL,"3858","3734","124","2911","54","0",44.14
G17003100618,STCTY-17031 TRACT-    0618     IN CHICAGO IL,"1218","1193","25","925","17","0",34.61
G17003100619,STCTY-17031 TRACT-    0619     IN CHICAGO IL,"3432","3364","68","2889","23","12685",44.67
G17003100620,STCTY-17031 TRACT-    0620     IN CHICAGO IL,"4275","4081","194","3502","145","0",38.61
G17003100621,STCTY-17031 TRACT-    0621     IN CHICAGO IL,"3087","3060","27","2618","25","0",71.87
G17003100622,STCTY-17031 TRACT-    0622     IN CHICAGO IL,"798","798","0","705","0","0",53.07
G17003100623,STCTY-17031 TRACT-    0623     IN CHICAGO IL,"5325","4476","849","3324","814","2602",39.84
G17003100624,STCTY-17031 TRACT-    0624     IN CHICAGO IL,"3284","3279","5","2417","3","2763",44.23
G17003100625,STCTY-17031 TRACT-    0625     IN CHICAGO IL,"9601","726","8875","593","8866","3284",39.2
G17003100626,STCTY-17031 TRACT-    0626     IN CHICAGO IL,"3143","3134","9","2590","2","0",41.42
G17003100627,STCTY-17031 TRACT-    0627     IN CHICAGO IL,"7773","7753","20","6575","9","2955",32.99
G17003100628,STCTY-17031 TRACT-    0628     IN CHICAGO IL,"4937","4924","13","4322","2","0",30.57
G17003100629,STCTY-17031 TRACT-    0629     IN CHICAGO IL,"6866","6861","5","6003","0","5268",39.79
G17003100630,STCTY-17031 TRACT-    0630     IN CHICAGO IL,"7240","7223","17","6300","2","0",31.94
G17003100631,STCTY-17031 TRACT-    0631     IN CHICAGO IL,"6683","6674","9","5999","7","4921",37.22
G17003100632,STCTY-17031 TRACT-    0632     IN CHICAGO IL,"5091","5084","7","4467","2","0",28.39
G17003100633,STCTY-17031 TRACT-    0633     IN CHICAGO IL,"9055","9016","39","7905","1","0",34.6
G17003100634,STCTY-17031 TRACT-    0634     IN CHICAGO IL,"2687","288","2399","221","0","3300",38.22
G17003100635,STCTY-17031 TRACT-    0635     IN CHICAGO IL,"8416","8374","42","7105","39","18333",49.16
G17003100636,STCTY-17031 TRACT-    0636     IN CHICAGO IL,"12599","12495","104","10569","95","11935",62.18
G17003100637,STCTY-17031 TRACT-    0637     IN CHICAGO IL,"2124","2110","14","1899","14","0",57.42
G17003100638,STCTY-17031 TRACT-    0638     IN CHICAGO IL,"2954","2941","13","2614","13","13464",52.02
G17003100639,STCTY-17031 TRACT-    0639     IN CHICAGO IL,"6298","6285","13","5549","13","5417",49.46
G17003100640,STCTY-17031 TRACT-    0640     IN CHICAGO IL,"2271","2271","0","2002","0","9444",53.02
G17003100641,STCTY-17031 TRACT-    0641     IN CHICAGO IL,"2768","2760","8","2416","8","9971",57.63
G17003100642,STCTY-17031 TRACT-    0642     IN CHICAGO IL,"19328","19265","63","16450","62","5740",53.54
G17003100643,STCTY-17031 TRACT-    0643     IN CHICAGO IL,"3729","3729","0","3235","0","7102",57.26
G17003100644,STCTY-17031 TRACT-    0644     IN CHICAGO IL,"6719","6716","3","5879","3","6384",52.38
G17003100645,STCTY-17031 TRACT-    0645     IN CHICAGO IL,"5478","5463","15","4622","2","3844",45.84
G17003100646,STCTY-17031 TRACT-    0646     IN CHICAGO IL,"4870","4869","1","4080","0","3731",43.9
G17003100647,STCTY-17031 TRACT-    0647     IN CHICAGO IL,"2039","2039","0","1569","0","2713",36.7
G17003100648,STCTY-17031 TRACT-    0648     IN CHICAGO IL,"4459","4453","6","3896","4","6313",49.85
G17003100649,STCTY-17031 TRACT-    0649     IN CHICAGO IL,"10122","10120","2","8672","2","6101",55.1
G17003100650,STCTY-17031 TRACT-    0650     IN CHICAGO IL,"9878","9871","7","8654","2","4821",52.15
G17003100651,STCTY-17031 TRACT-    0651     IN CHICAGO IL,"655","648","7","530","3","0",0
G17003100652,STCTY-17031 TRACT-    0652     IN CHICAGO IL,"2642","2642","0","2081","0","5052",42.46
G17003100653,STCTY-17031 TRACT-    0653     IN CHICAGO IL,"831","831","0","714","0","5250",0
G17003100654,STCTY-17031 TRACT-    0654     IN CHICAGO IL,"8","8","0","8","0","0",0
G17003100655,STCTY-17031 TRACT-    0655     IN CHICAGO IL,"6","6","0","5","0","0",0
G17003100656,STCTY-17031 TRACT-    0656     IN CHICAGO IL,"4476","4476","0","3770","0","5101",44.23
G17003100657,STCTY-17031 TRACT-    0657     IN CHICAGO IL,"3842","3833","9","2878","9","3803",37.6
G17003100658,STCTY-17031 TRACT-    0658     IN CHICAGO IL,"869","869","0","702","0","0",36.3
G17003100659,STCTY-17031 TRACT-    0659     IN CHICAGO IL,"4165","4161","4","3671","2","5962",49.55
G17003100660,STCTY-17031 TRACT-    0660     IN CHICAGO IL,"608","608","0","463","0","0",34.78
G17003100661,STCTY-17031 TRACT-    0661     IN CHICAGO IL,"5691","5689","2","5007","2","6619",47.37
G17003100662,STCTY-17031 TRACT-    0662     IN CHICAGO IL,"7534","7521","13","6568","8","6857",53.94
G17003100663,STCTY-17031 TRACT-    0663     IN CHICAGO IL,"4223","4214","9","3411","9","4552",54.25
G17003100664,STCTY-17031 TRACT-    0664     IN CHICAGO IL,"11868","11867","1","9517","1","3700",36.57
G17003100665,STCTY-17031 TRACT-    0665     IN CHICAGO IL,"6327","6315","12","5141","12","3280",31.57
G17003100666,STCTY-17031 TRACT-    0666     IN CHICAGO IL,"6514","6500","14","4968","0","2146",26.05
G17003100667,STCTY-17031 TRACT-    0667     IN CHICAGO IL,"5805","5672","133","4275","133","2014",26.25
G17003100668,STCTY-17031 TRACT-    0668     IN CHICAGO IL,"2391","2391","0","1945","0","3117",34.63
G17003100669,STCTY-17031 TRACT-    0669     IN CHICAGO IL,"3826","3799","27","2966","27","2568",31.79
G17003100670,STCTY-17031 TRACT-    0670     IN CHICAGO IL,"2801","2113","688","1250","686","0",25.91
G17003100671,STCTY-17031 TRACT-    0671     IN CHICAGO IL,"3801","3765","36","2662","31","0",26.29
G17003100672,STCTY-17031 TRACT-    0672     IN CHICAGO IL,"2","2","0","2","0","0",0
G17003100673,STCTY-17031 TRACT-    0673     IN CHICAGO IL,"3565","3556","9","2464","4","2735",28.91
G17003100674,STCTY-17031 TRACT-    0674     IN CHICAGO IL,"0","0","0","0","0","0",0
G17003100675,STCTY-17031 TRACT-    0675     IN CHICAGO IL,"262","262","0","220","0","0",0
G17003100676,STCTY-17031 TRACT-    0676     IN CHICAGO IL,"794","794","0","707","0","0",61.12
G17003100677,STCTY-17031 TRACT-    0677     IN CHICAGO IL,"1423","1423","0","1205","0","3286",52.13
G17003100678,STCTY-17031 TRACT-    0678     IN CHICAGO IL,"1781","1780","1","1473","1","3664",34.97
G17003100679,STCTY-17031 TRACT-    0679     IN CHICAGO IL,"2874","2874","0","2238","0","4206",38.75
G17003100680,STCTY-17031 TRACT-    0680     IN CHICAGO IL,"283","279","4","205","3","0",0
G17003100681,STCTY-17031 TRACT-    0681     IN CHICAGO IL,"958","425","533","326","533","2375",0
G17003100682,STCTY-17031 TRACT-    0682     IN CHICAGO IL,"832","832","0","703","0","0",41.82
G17003100683,STCTY-17031 TRACT-    0683     IN CHICAGO IL,"483","14","469","8","469","0",0
G17003100684,STCTY-17031 TRACT-    0684     IN CHICAGO IL,"19","19","0","15","0","0",0
G17003100685,STCTY-17031 TRACT-    0685     IN CHICAGO IL,"851","29","822","25","821","2299",0
G17003100686,STCTY-17031 TRACT-    0686     IN CHICAGO IL,"244","244","0","190","0","0",0
G17003100687,STCTY-17031 TRACT-    0687     IN CHICAGO IL,"3189","3189","0","2531","0","4722",42.94
G17003100688,STCTY-17031 TRACT-    0688     IN CHICAGO IL,"8697","8696","1","6430","1","3858",40.14
G17003100689,STCTY-17031 TRACT-    0689     IN CHICAGO IL,"5720","5718","2","4410","2","3909",41.06
G17003100690,STCTY-17031 TRACT-    0690     IN CHICAGO IL,"2823","2823","0","2159","0","4634",42.91
G17003100691,STCTY-17031 TRACT-    0691     IN CHICAGO IL,"9066","9065","1","6715","1","3742",34.79
G17003100692,STCTY-17031 TRACT-    0692     IN CHICAGO IL,"4664","4660","4","3576","1","3529",36.15
G17003100693,STCTY-17031 TRACT-    0693     IN CHICAGO IL,"2481","2481","0","2046","0","5980",47.42
G17003100694,STCTY-17031 TRACT-    0694     IN CHICAGO IL,"2676","2676","0","2228","0","4990",47
G17003100695,STCTY-17031 TRACT-    0695     IN CHICAGO IL,"1305","1305","0","1003","0","4907",42.43
G17003100696,STCTY-17031 TRACT-    0696     IN CHICAGO IL,"1","1","0","1","0","0",0
G17003100697,STCTY-17031 TRACT-    0697     IN CHICAGO IL,"379","379","0","342","0","0",0
